"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"72";"target ~ trestbps+restecg1";20;34;8;40;0.529411764705882;0.80952380952381;0.333333333333333
"73";"target ~ trestbps+restecg2";17;28;14;43;0.441176470588235;0.666666666666667;0.283333333333333
"74";"target ~ trestbps+exang0";41;24;18;19;0.637254901960784;0.571428571428571;0.683333333333333
"75";"target ~ trestbps+exang1";41;24;18;19;0.637254901960784;0.571428571428571;0.683333333333333
"76";"target ~ trestbps+slope0";17;30;12;43;0.46078431372549;0.714285714285714;0.283333333333333
"77";"target ~ trestbps+slope1";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"78";"target ~ trestbps+slope2";30;33;9;30;0.617647058823529;0.785714285714286;0.5
"79";"target ~ trestbps+ca0";36;34;8;24;0.686274509803922;0.80952380952381;0.6
"80";"target ~ trestbps+ca1";16;32;10;44;0.470588235294118;0.761904761904762;0.266666666666667
"81";"target ~ trestbps+ca2";19;28;14;41;0.46078431372549;0.666666666666667;0.316666666666667
"82";"target ~ trestbps+ca3";17;29;13;43;0.450980392156863;0.69047619047619;0.283333333333333
"83";"target ~ trestbps+ca4";18;27;15;42;0.441176470588235;0.642857142857143;0.3
"84";"target ~ trestbps+thal0";17;28;14;43;0.441176470588235;0.666666666666667;0.283333333333333
"85";"target ~ trestbps+thal1";16;30;12;44;0.450980392156863;0.714285714285714;0.266666666666667
"86";"target ~ trestbps+thal2";39;33;9;21;0.705882352941177;0.785714285714286;0.65
"87";"target ~ trestbps+thal3";38;30;12;22;0.666666666666667;0.714285714285714;0.633333333333333
"88";"target ~ chol+thalach";28;32;10;32;0.588235294117647;0.761904761904762;0.466666666666667
"89";"target ~ chol+oldpeak";36;31;11;24;0.656862745098039;0.738095238095238;0.6
"90";"target ~ chol+sex0";19;35;7;41;0.529411764705882;0.833333333333333;0.316666666666667
"91";"target ~ chol+sex1";19;35;7;41;0.529411764705882;0.833333333333333;0.316666666666667
"92";"target ~ chol+cp0";44;35;7;16;0.774509803921569;0.833333333333333;0.733333333333333
"93";"target ~ chol+cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"94";"target ~ chol+cp2";22;40;2;38;0.607843137254902;0.952380952380952;0.366666666666667
"95";"target ~ chol+cp3";26;29;13;34;0.53921568627451;0.69047619047619;0.433333333333333
"96";"target ~ chol+fbs0";27;30;12;33;0.558823529411765;0.714285714285714;0.45
"97";"target ~ chol+fbs1";27;30;12;33;0.558823529411765;0.714285714285714;0.45
"98";"target ~ chol+restecg0";26;29;13;34;0.53921568627451;0.69047619047619;0.433333333333333
"99";"target ~ chol+restecg1";26;29;13;34;0.53921568627451;0.69047619047619;0.433333333333333
"100";"target ~ chol+restecg2";25;29;13;35;0.529411764705882;0.69047619047619;0.416666666666667
"101";"target ~ chol+exang0";48;20;22;12;0.666666666666667;0.476190476190476;0.8
"102";"target ~ chol+exang1";48;20;22;12;0.666666666666667;0.476190476190476;0.8
"103";"target ~ chol+slope0";26;30;12;34;0.549019607843137;0.714285714285714;0.433333333333333
"104";"target ~ chol+slope1";40;27;15;20;0.656862745098039;0.642857142857143;0.666666666666667
"105";"target ~ chol+slope2";36;33;9;24;0.676470588235294;0.785714285714286;0.6
