"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"72";"target ~ trestbps+restecg1";52;7;35;8;0.57843137254902;0.166666666666667;0.866666666666667
"73";"target ~ trestbps+restecg2";52;7;35;8;0.57843137254902;0.166666666666667;0.866666666666667
"74";"target ~ trestbps+exang0";41;22;20;19;0.617647058823529;0.523809523809524;0.683333333333333
"75";"target ~ trestbps+exang1";41;22;20;19;0.617647058823529;0.523809523809524;0.683333333333333
"76";"target ~ trestbps+slope0";52;7;35;8;0.57843137254902;0.166666666666667;0.866666666666667
"77";"target ~ trestbps+slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"78";"target ~ trestbps+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"79";"target ~ trestbps+ca0";34;35;7;26;0.676470588235294;0.833333333333333;0.566666666666667
"80";"target ~ trestbps+ca1";46;21;21;14;0.656862745098039;0.5;0.766666666666667
"81";"target ~ trestbps+ca2";16;30;12;44;0.450980392156863;0.714285714285714;0.266666666666667
"82";"target ~ trestbps+ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"83";"target ~ trestbps+ca4";52;7;35;8;0.57843137254902;0.166666666666667;0.866666666666667
"84";"target ~ trestbps+thal0";52;7;35;8;0.57843137254902;0.166666666666667;0.866666666666667
"85";"target ~ trestbps+thal1";52;7;35;8;0.57843137254902;0.166666666666667;0.866666666666667
"86";"target ~ trestbps+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"87";"target ~ trestbps+thal3";41;30;12;19;0.696078431372549;0.714285714285714;0.683333333333333
"88";"target ~ chol+thalach";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"89";"target ~ chol+oldpeak";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"90";"target ~ chol+sex0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"91";"target ~ chol+sex1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"92";"target ~ chol+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"93";"target ~ chol+cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"94";"target ~ chol+cp2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"95";"target ~ chol+cp3";60;0;42;0;0.588235294117647;0;1
"96";"target ~ chol+fbs0";60;0;42;0;0.588235294117647;0;1
"97";"target ~ chol+fbs1";60;0;42;0;0.588235294117647;0;1
"98";"target ~ chol+restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"99";"target ~ chol+restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"100";"target ~ chol+restecg2";60;0;42;0;0.588235294117647;0;1
"101";"target ~ chol+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"102";"target ~ chol+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"103";"target ~ chol+slope0";60;0;42;0;0.588235294117647;0;1
"104";"target ~ chol+slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"105";"target ~ chol+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"106";"target ~ chol+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"107";"target ~ chol+ca1";42;24;18;18;0.647058823529412;0.571428571428571;0.7
"108";"target ~ chol+ca2";57;12;30;3;0.676470588235294;0.285714285714286;0.95
"109";"target ~ chol+ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"110";"target ~ chol+ca4";60;0;42;0;0.588235294117647;0;1
"111";"target ~ chol+thal0";60;0;42;0;0.588235294117647;0;1
"112";"target ~ chol+thal1";60;0;42;0;0.588235294117647;0;1
"113";"target ~ chol+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"114";"target ~ chol+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"115";"target ~ thalach+oldpeak";53;21;21;7;0.725490196078431;0.5;0.883333333333333
"116";"target ~ thalach+sex0";38;30;12;22;0.666666666666667;0.714285714285714;0.633333333333333
"117";"target ~ thalach+sex1";38;30;12;22;0.666666666666667;0.714285714285714;0.633333333333333
"118";"target ~ thalach+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"119";"target ~ thalach+cp1";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"120";"target ~ thalach+cp2";46;25;17;14;0.696078431372549;0.595238095238095;0.766666666666667
"121";"target ~ thalach+cp3";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"122";"target ~ thalach+fbs0";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"123";"target ~ thalach+fbs1";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"124";"target ~ thalach+restecg0";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"125";"target ~ thalach+restecg1";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"126";"target ~ thalach+restecg2";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"127";"target ~ thalach+exang0";53;18;24;7;0.696078431372549;0.428571428571429;0.883333333333333
"128";"target ~ thalach+exang1";53;18;24;7;0.696078431372549;0.428571428571429;0.883333333333333
"129";"target ~ thalach+slope0";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"130";"target ~ thalach+slope1";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"131";"target ~ thalach+slope2";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"132";"target ~ thalach+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"133";"target ~ thalach+ca1";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"134";"target ~ thalach+ca2";43;33;9;17;0.745098039215686;0.785714285714286;0.716666666666667
"135";"target ~ thalach+ca3";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"136";"target ~ thalach+ca4";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"137";"target ~ thalach+thal0";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"138";"target ~ thalach+thal1";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"139";"target ~ thalach+thal2";36;36;6;24;0.705882352941177;0.857142857142857;0.6
"140";"target ~ thalach+thal3";35;36;6;25;0.696078431372549;0.857142857142857;0.583333333333333
"141";"target ~ oldpeak+sex0";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"142";"target ~ oldpeak+sex1";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"143";"target ~ oldpeak+cp0";52;25;17;8;0.754901960784314;0.595238095238095;0.866666666666667
"144";"target ~ oldpeak+cp1";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"145";"target ~ oldpeak+cp2";48;23;19;12;0.696078431372549;0.547619047619048;0.8
"146";"target ~ oldpeak+cp3";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"147";"target ~ oldpeak+fbs0";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"148";"target ~ oldpeak+fbs1";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"149";"target ~ oldpeak+restecg0";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"150";"target ~ oldpeak+restecg1";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
