"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"naiveBayes: target ~ cp2+slope2+ca0+thal2";45;41;11;5;0.843137254901961;0.788461538461538;0.9
"naiveBayes: target ~ cp2+slope2+ca0+thal2";55;29;13;5;0.823529411764706;0.69047619047619;0.916666666666667
"naiveBayes: target ~ cp2+slope2+ca0+thal2";55;30;14;3;0.833333333333333;0.681818181818182;0.948275862068966
"naiveBayes: target ~ cp2+slope2+ca0+thal2";47;32;8;15;0.774509803921569;0.8;0.758064516129032
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;36;10;12;0.784313725490196;0.782608695652174;0.785714285714286
"naiveBayes: target ~ cp2+slope2+ca0+thal2";49;36;9;8;0.833333333333333;0.8;0.859649122807018
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;40;8;10;0.823529411764706;0.833333333333333;0.814814814814815
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;37;13;6;0.813725490196078;0.74;0.884615384615385
"naiveBayes: target ~ cp2+slope2+ca0+thal2";47;36;11;8;0.813725490196078;0.765957446808511;0.854545454545454
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;37;8;13;0.794117647058823;0.822222222222222;0.771929824561403
"naiveBayes: target ~ cp2+slope2+ca0+thal2";36;37;16;13;0.715686274509804;0.69811320754717;0.73469387755102
"naiveBayes: target ~ cp2+slope2+ca0+thal2";42;41;10;9;0.813725490196078;0.803921568627451;0.823529411764706
"naiveBayes: target ~ cp2+slope2+ca0+thal2";55;32;7;8;0.852941176470588;0.82051282051282;0.873015873015873
"naiveBayes: target ~ cp2+slope2+ca0+thal2";57;27;9;9;0.823529411764706;0.75;0.863636363636364
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;40;17;1;0.823529411764706;0.701754385964912;0.977777777777778
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;36;10;12;0.784313725490196;0.782608695652174;0.785714285714286
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;36;10;12;0.784313725490196;0.782608695652174;0.785714285714286
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;35;12;11;0.774509803921569;0.74468085106383;0.8
"naiveBayes: target ~ cp2+slope2+ca0+thal2";52;32;12;6;0.823529411764706;0.727272727272727;0.896551724137931
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;38;7;11;0.823529411764706;0.844444444444444;0.807017543859649
"naiveBayes: target ~ cp2+slope2+ca0+thal2";38;38;7;19;0.745098039215686;0.844444444444444;0.666666666666667
"naiveBayes: target ~ cp2+slope2+ca0+thal2";50;35;9;8;0.833333333333333;0.795454545454545;0.862068965517241
"naiveBayes: target ~ cp2+slope2+ca0+thal2";45;40;12;5;0.833333333333333;0.769230769230769;0.9
"naiveBayes: target ~ cp2+slope2+ca0+thal2";43;41;8;10;0.823529411764706;0.836734693877551;0.811320754716981
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;37;13;6;0.813725490196078;0.74;0.884615384615385
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;36;6;14;0.803921568627451;0.857142857142857;0.766666666666667
"naiveBayes: target ~ cp2+slope2+ca0+thal2";51;37;7;7;0.862745098039216;0.840909090909091;0.879310344827586
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;39;6;9;0.852941176470588;0.866666666666667;0.842105263157895
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;36;4;16;0.803921568627451;0.9;0.741935483870968
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;33;8;13;0.794117647058823;0.804878048780488;0.786885245901639
"naiveBayes: target ~ cp2+slope2+ca0+thal2";45;34;9;14;0.774509803921569;0.790697674418605;0.76271186440678
"naiveBayes: target ~ cp2+slope2+ca0+thal2";49;29;11;13;0.764705882352941;0.725;0.790322580645161
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;39;11;6;0.833333333333333;0.78;0.884615384615385
"naiveBayes: target ~ cp2+slope2+ca0+thal2";53;32;10;7;0.833333333333333;0.761904761904762;0.883333333333333
"naiveBayes: target ~ cp2+slope2+ca0+thal2";43;43;7;9;0.843137254901961;0.86;0.826923076923077
"naiveBayes: target ~ cp2+slope2+ca0+thal2";42;37;7;16;0.774509803921569;0.840909090909091;0.724137931034483
"naiveBayes: target ~ cp2+slope2+ca0+thal2";53;35;8;6;0.862745098039216;0.813953488372093;0.898305084745763
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;36;12;10;0.784313725490196;0.75;0.814814814814815
"naiveBayes: target ~ cp2+slope2+ca0+thal2";53;30;11;8;0.813725490196078;0.731707317073171;0.868852459016393
"naiveBayes: target ~ cp2+slope2+ca0+thal2";45;37;6;14;0.803921568627451;0.86046511627907;0.76271186440678
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;41;9;6;0.852941176470588;0.82;0.884615384615385
"naiveBayes: target ~ cp2+slope2+ca0+thal2";50;28;16;8;0.764705882352941;0.636363636363636;0.862068965517241
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;33;16;5;0.794117647058823;0.673469387755102;0.905660377358491
"naiveBayes: target ~ cp2+slope2+ca0+thal2";36;47;11;8;0.813725490196078;0.810344827586207;0.818181818181818
"naiveBayes: target ~ cp2+slope2+ca0+thal2";55;34;7;6;0.872549019607843;0.829268292682927;0.901639344262295
"naiveBayes: target ~ cp2+slope2+ca0+thal2";40;46;12;4;0.843137254901961;0.793103448275862;0.909090909090909
"naiveBayes: target ~ cp2+slope2+ca0+thal2";56;26;14;6;0.803921568627451;0.65;0.903225806451613
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;36;9;9;0.823529411764706;0.8;0.842105263157895
"naiveBayes: target ~ cp2+slope2+ca0+thal2";45;44;4;9;0.872549019607843;0.916666666666667;0.833333333333333
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;40;9;7;0.843137254901961;0.816326530612245;0.867924528301887
"naiveBayes: target ~ cp2+slope2+ca0+thal2";47;41;11;3;0.862745098039216;0.788461538461538;0.94
"naiveBayes: target ~ cp2+slope2+ca0+thal2";52;33;10;7;0.833333333333333;0.767441860465116;0.88135593220339
"naiveBayes: target ~ cp2+slope2+ca0+thal2";61;30;8;3;0.892156862745098;0.789473684210526;0.953125
"naiveBayes: target ~ cp2+slope2+ca0+thal2";52;33;12;5;0.833333333333333;0.733333333333333;0.912280701754386
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;36;10;3;0.872549019607843;0.782608695652174;0.946428571428571
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;37;12;5;0.833333333333333;0.755102040816326;0.905660377358491
"naiveBayes: target ~ sex0+cp0+slope2+ca0";51;29;16;6;0.784313725490196;0.644444444444444;0.894736842105263
"naiveBayes: target ~ sex0+cp0+slope2+ca0";55;28;14;5;0.813725490196078;0.666666666666667;0.916666666666667
"naiveBayes: target ~ sex0+cp0+slope2+ca0";52;37;9;4;0.872549019607843;0.804347826086957;0.928571428571429
"naiveBayes: target ~ sex0+cp0+slope2+ca0";56;26;14;6;0.803921568627451;0.65;0.903225806451613
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;31;16;6;0.784313725490196;0.659574468085106;0.890909090909091
"naiveBayes: target ~ sex0+cp0+slope2+ca0";54;28;7;13;0.803921568627451;0.8;0.805970149253731
"naiveBayes: target ~ sex0+cp0+slope2+ca0";56;29;13;4;0.833333333333333;0.69047619047619;0.933333333333333
"naiveBayes: target ~ sex0+cp0+slope2+ca0";54;33;13;2;0.852941176470588;0.717391304347826;0.964285714285714
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;34;7;8;0.852941176470588;0.829268292682927;0.868852459016393
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;35;14;7;0.794117647058823;0.714285714285714;0.867924528301887
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;40;12;5;0.833333333333333;0.769230769230769;0.9
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;37;13;3;0.843137254901961;0.74;0.942307692307692
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;36;10;11;0.794117647058823;0.782608695652174;0.803571428571429
"naiveBayes: target ~ sex0+cp0+slope2+ca0";43;37;4;18;0.784313725490196;0.902439024390244;0.704918032786885
"naiveBayes: target ~ sex0+cp0+slope2+ca0";58;30;12;2;0.862745098039216;0.714285714285714;0.966666666666667
"naiveBayes: target ~ sex0+cp0+slope2+ca0";44;45;2;11;0.872549019607843;0.957446808510638;0.8
"naiveBayes: target ~ sex0+cp0+slope2+ca0";56;27;15;4;0.813725490196078;0.642857142857143;0.933333333333333
"naiveBayes: target ~ sex0+cp0+slope2+ca0";55;30;12;5;0.833333333333333;0.714285714285714;0.916666666666667
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;36;8;10;0.823529411764706;0.818181818181818;0.827586206896552
"naiveBayes: target ~ sex0+cp0+slope2+ca0";54;29;13;6;0.813725490196078;0.69047619047619;0.9
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;33;14;6;0.803921568627451;0.702127659574468;0.890909090909091
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;35;12;2;0.862745098039216;0.74468085106383;0.963636363636364
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;33;17;3;0.803921568627451;0.66;0.942307692307692
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;41;10;6;0.843137254901961;0.803921568627451;0.882352941176471
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;33;20;4;0.764705882352941;0.622641509433962;0.918367346938776
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;35;13;6;0.813725490196078;0.729166666666667;0.888888888888889
"naiveBayes: target ~ sex0+cp0+slope2+ca0";55;31;13;3;0.843137254901961;0.704545454545455;0.948275862068966
"naiveBayes: target ~ sex0+cp0+slope2+ca0";55;24;15;8;0.774509803921569;0.615384615384615;0.873015873015873
"naiveBayes: target ~ sex0+cp0+slope2+ca0";40;42;10;10;0.803921568627451;0.807692307692308;0.8
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;35;14;7;0.794117647058823;0.714285714285714;0.867924528301887
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;37;8;4;0.882352941176471;0.822222222222222;0.929824561403509
"naiveBayes: target ~ sex0+cp0+slope2+ca0";58;30;12;2;0.862745098039216;0.714285714285714;0.966666666666667
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;37;14;2;0.843137254901961;0.725490196078431;0.96078431372549
"naiveBayes: target ~ sex0+cp0+slope2+ca0";55;29;13;5;0.823529411764706;0.69047619047619;0.916666666666667
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;38;11;5;0.843137254901961;0.775510204081633;0.905660377358491
"naiveBayes: target ~ sex0+cp0+slope2+ca0";52;33;7;10;0.833333333333333;0.825;0.838709677419355
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;40;8;9;0.833333333333333;0.833333333333333;0.833333333333333
"naiveBayes: target ~ sex0+cp0+slope2+ca0";51;32;12;7;0.813725490196078;0.727272727272727;0.879310344827586
"naiveBayes: target ~ sex0+cp0+slope2+ca0";47;36;12;7;0.813725490196078;0.75;0.87037037037037
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;37;13;3;0.843137254901961;0.74;0.942307692307692
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;36;9;4;0.872549019607843;0.8;0.929824561403509
"naiveBayes: target ~ sex0+cp0+slope2+ca0";44;39;13;6;0.813725490196078;0.75;0.88
"naiveBayes: target ~ sex0+cp0+slope2+ca0";55;35;8;4;0.882352941176471;0.813953488372093;0.932203389830508
"naiveBayes: target ~ sex0+cp0+slope2+ca0";52;33;13;4;0.833333333333333;0.717391304347826;0.928571428571429
"naiveBayes: target ~ sex0+cp0+slope2+ca0";60;29;7;6;0.872549019607843;0.805555555555556;0.909090909090909
"naiveBayes: target ~ sex0+cp0+slope2+ca0";43;36;14;9;0.774509803921569;0.72;0.826923076923077
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;34;9;6;0.852941176470588;0.790697674418605;0.898305084745763
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;29;22;3;0.754901960784314;0.568627450980392;0.941176470588235
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;37;12;7;0.813725490196078;0.755102040816326;0.867924528301887
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;40;14;2;0.843137254901961;0.740740740740741;0.958333333333333
"naiveBayes: target ~ sex0+cp0+slope2+ca0";60;24;14;4;0.823529411764706;0.631578947368421;0.9375
"naiveBayes: target ~ sex0+cp0+slope2+ca0";56;35;9;2;0.892156862745098;0.795454545454545;0.96551724137931
"naiveBayes: target ~ sex0+cp0+slope2+ca0";52;35;7;8;0.852941176470588;0.833333333333333;0.866666666666667
"naiveBayes: target ~ sex0+cp0+slope2+ca0";60;28;11;3;0.862745098039216;0.717948717948718;0.952380952380952
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;37;8;12;0.803921568627451;0.822222222222222;0.789473684210526
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;33;14;9;0.774509803921569;0.702127659574468;0.836363636363636
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;31;12;6;0.823529411764706;0.720930232558139;0.898305084745763
"naiveBayes: target ~ sex0+cp0+slope2+ca0";46;37;14;5;0.813725490196078;0.725490196078431;0.901960784313726
"naiveBayes: target ~ sex0+cp0+slope2+ca0";37;42;13;10;0.774509803921569;0.763636363636364;0.787234042553192
"naiveBayes: target ~ sex0+cp0+slope2+ca0";51;38;5;8;0.872549019607843;0.883720930232558;0.864406779661017
"naiveBayes: target ~ sex0+cp0+slope2+ca0";45;37;8;12;0.803921568627451;0.822222222222222;0.789473684210526
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;34;14;6;0.803921568627451;0.708333333333333;0.888888888888889
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;34;6;9;0.852941176470588;0.85;0.854838709677419
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;36;14;3;0.833333333333333;0.72;0.942307692307692
"naiveBayes: target ~ sex0+cp0+slope2+ca0";47;32;18;5;0.774509803921569;0.64;0.903846153846154
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;38;9;6;0.852941176470588;0.808510638297872;0.890909090909091
"naiveBayes: target ~ sex0+cp0+slope2+ca0";42;37;5;18;0.774509803921569;0.880952380952381;0.7
"naiveBayes: target ~ sex0+cp0+slope2+ca0";48;33;11;10;0.794117647058823;0.75;0.827586206896552
"naiveBayes: target ~ sex0+cp0+slope2+ca0";37;40;17;8;0.754901960784314;0.701754385964912;0.822222222222222
"naiveBayes: target ~ sex0+cp0+slope2+ca0";38;43;12;9;0.794117647058823;0.781818181818182;0.808510638297872
"naiveBayes: target ~ sex0+cp0+slope2+ca0";53;28;14;7;0.794117647058823;0.666666666666667;0.883333333333333
"naiveBayes: target ~ sex0+cp0+slope2+ca0";52;36;10;4;0.862745098039216;0.782608695652174;0.928571428571429
"naiveBayes: target ~ sex0+cp0+slope2+ca0";50;36;11;5;0.843137254901961;0.765957446808511;0.909090909090909
"naiveBayes: target ~ sex0+cp0+slope2+ca0";42;34;20;6;0.745098039215686;0.62962962962963;0.875
"naiveBayes: target ~ sex0+cp0+slope2+ca0";51;30;11;10;0.794117647058823;0.731707317073171;0.836065573770492
"naiveBayes: target ~ sex0+cp0+slope2+ca0";49;36;7;10;0.833333333333333;0.837209302325581;0.830508474576271
