"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"75";"target ~ trestbps+exang1";46;20;22;14;0.647058823529412;0.476190476190476;0.766666666666667
"76";"target ~ trestbps+slope0";51;7;35;9;0.568627450980392;0.166666666666667;0.85
"77";"target ~ trestbps+slope1";60;0;42;0;0.588235294117647;0;1
"78";"target ~ trestbps+slope2";60;0;42;0;0.588235294117647;0;1
"79";"target ~ trestbps+ca0";60;0;42;0;0.588235294117647;0;1
"80";"target ~ trestbps+ca1";60;0;42;0;0.588235294117647;0;1
"81";"target ~ trestbps+ca2";60;0;42;0;0.588235294117647;0;1
"82";"target ~ trestbps+ca3";50;8;34;10;0.568627450980392;0.19047619047619;0.833333333333333
"83";"target ~ trestbps+ca4";60;0;42;0;0.588235294117647;0;1
"84";"target ~ trestbps+thal0";48;12;30;12;0.588235294117647;0.285714285714286;0.8
"85";"target ~ trestbps+thal1";45;13;29;15;0.568627450980392;0.30952380952381;0.75
"86";"target ~ trestbps+thal2";60;0;42;0;0.588235294117647;0;1
"87";"target ~ trestbps+thal3";60;0;42;0;0.588235294117647;0;1
"88";"target ~ chol+thalach";53;9;33;7;0.607843137254902;0.214285714285714;0.883333333333333
"89";"target ~ chol+oldpeak";60;0;42;0;0.588235294117647;0;1
"90";"target ~ chol+sex0";60;0;42;0;0.588235294117647;0;1
"91";"target ~ chol+sex1";60;0;42;0;0.588235294117647;0;1
"92";"target ~ chol+cp0";44;35;7;16;0.774509803921569;0.833333333333333;0.733333333333333
"93";"target ~ chol+cp1";60;0;42;0;0.588235294117647;0;1
"94";"target ~ chol+cp2";60;0;42;0;0.588235294117647;0;1
"95";"target ~ chol+cp3";60;0;42;0;0.588235294117647;0;1
"96";"target ~ chol+fbs0";48;9;33;12;0.558823529411765;0.214285714285714;0.8
"97";"target ~ chol+fbs1";60;0;42;0;0.588235294117647;0;1
"98";"target ~ chol+restecg0";60;0;42;0;0.588235294117647;0;1
"99";"target ~ chol+restecg1";60;0;42;0;0.588235294117647;0;1
"100";"target ~ chol+restecg2";60;0;42;0;0.588235294117647;0;1
"101";"target ~ chol+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"102";"target ~ chol+exang1";60;0;42;0;0.588235294117647;0;1
"103";"target ~ chol+slope0";60;0;42;0;0.588235294117647;0;1
"104";"target ~ chol+slope1";60;0;42;0;0.588235294117647;0;1
"105";"target ~ chol+slope2";60;0;42;0;0.588235294117647;0;1
"106";"target ~ chol+ca0";60;0;42;0;0.588235294117647;0;1
"107";"target ~ chol+ca1";42;24;18;18;0.647058823529412;0.571428571428571;0.7
"108";"target ~ chol+ca2";60;0;42;0;0.588235294117647;0;1
"109";"target ~ chol+ca3";60;0;42;0;0.588235294117647;0;1
"110";"target ~ chol+ca4";46;14;28;14;0.588235294117647;0.333333333333333;0.766666666666667
"111";"target ~ chol+thal0";60;0;42;0;0.588235294117647;0;1
"112";"target ~ chol+thal1";60;0;42;0;0.588235294117647;0;1
"113";"target ~ chol+thal2";60;0;42;0;0.588235294117647;0;1
"114";"target ~ chol+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"115";"target ~ thalach+oldpeak";60;0;42;0;0.588235294117647;0;1
"116";"target ~ thalach+sex0";60;0;42;0;0.588235294117647;0;1
"117";"target ~ thalach+sex1";60;0;42;0;0.588235294117647;0;1
"118";"target ~ thalach+cp0";60;0;42;0;0.588235294117647;0;1
"119";"target ~ thalach+cp1";60;0;42;0;0.588235294117647;0;1
"120";"target ~ thalach+cp2";42;27;15;18;0.676470588235294;0.642857142857143;0.7
"121";"target ~ thalach+cp3";60;0;42;0;0.588235294117647;0;1
"122";"target ~ thalach+fbs0";60;0;42;0;0.588235294117647;0;1
"123";"target ~ thalach+fbs1";43;28;14;17;0.696078431372549;0.666666666666667;0.716666666666667
"124";"target ~ thalach+restecg0";60;0;42;0;0.588235294117647;0;1
"125";"target ~ thalach+restecg1";43;27;15;17;0.686274509803922;0.642857142857143;0.716666666666667
"126";"target ~ thalach+restecg2";43;27;15;17;0.686274509803922;0.642857142857143;0.716666666666667
"127";"target ~ thalach+exang0";48;24;18;12;0.705882352941177;0.571428571428571;0.8
"128";"target ~ thalach+exang1";60;0;42;0;0.588235294117647;0;1
"129";"target ~ thalach+slope0";60;0;42;0;0.588235294117647;0;1
"130";"target ~ thalach+slope1";60;0;42;0;0.588235294117647;0;1
"131";"target ~ thalach+slope2";41;27;15;19;0.666666666666667;0.642857142857143;0.683333333333333
"132";"target ~ thalach+ca0";60;0;42;0;0.588235294117647;0;1
"133";"target ~ thalach+ca1";60;0;42;0;0.588235294117647;0;1
"134";"target ~ thalach+ca2";60;0;42;0;0.588235294117647;0;1
"135";"target ~ thalach+ca3";60;0;42;0;0.588235294117647;0;1
"136";"target ~ thalach+ca4";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"137";"target ~ thalach+thal0";44;27;15;16;0.696078431372549;0.642857142857143;0.733333333333333
"138";"target ~ thalach+thal1";43;27;15;17;0.686274509803922;0.642857142857143;0.716666666666667
"139";"target ~ thalach+thal2";39;36;6;21;0.735294117647059;0.857142857142857;0.65
"140";"target ~ thalach+thal3";60;0;42;0;0.588235294117647;0;1
"141";"target ~ oldpeak+sex0";47;28;14;13;0.735294117647059;0.666666666666667;0.783333333333333
"142";"target ~ oldpeak+sex1";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"143";"target ~ oldpeak+cp0";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"144";"target ~ oldpeak+cp1";41;28;14;19;0.676470588235294;0.666666666666667;0.683333333333333
"145";"target ~ oldpeak+cp2";44;28;14;16;0.705882352941177;0.666666666666667;0.733333333333333
"146";"target ~ oldpeak+cp3";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
