"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"72";"target ~ trestbps+restecg1";33;26;16;27;0.57843137254902;0.619047619047619;0.55
"73";"target ~ trestbps+restecg2";46;12;30;14;0.568627450980392;0.285714285714286;0.766666666666667
"74";"target ~ trestbps+exang0";45;21;21;15;0.647058823529412;0.5;0.75
"75";"target ~ trestbps+exang1";45;21;21;15;0.647058823529412;0.5;0.75
"76";"target ~ trestbps+slope0";48;9;33;12;0.558823529411765;0.214285714285714;0.8
"77";"target ~ trestbps+slope1";41;26;16;19;0.656862745098039;0.619047619047619;0.683333333333333
"78";"target ~ trestbps+slope2";38;32;10;22;0.686274509803922;0.761904761904762;0.633333333333333
"79";"target ~ trestbps+ca0";42;33;9;18;0.735294117647059;0.785714285714286;0.7
"80";"target ~ trestbps+ca1";42;22;20;18;0.627450980392157;0.523809523809524;0.7
"81";"target ~ trestbps+ca2";46;18;24;14;0.627450980392157;0.428571428571429;0.766666666666667
"82";"target ~ trestbps+ca3";50;8;34;10;0.568627450980392;0.19047619047619;0.833333333333333
"83";"target ~ trestbps+ca4";42;15;27;18;0.558823529411765;0.357142857142857;0.7
"84";"target ~ trestbps+thal0";48;12;30;12;0.588235294117647;0.285714285714286;0.8
"85";"target ~ trestbps+thal1";46;12;30;14;0.568627450980392;0.285714285714286;0.766666666666667
"86";"target ~ trestbps+thal2";43;33;9;17;0.745098039215686;0.785714285714286;0.716666666666667
"87";"target ~ trestbps+thal3";41;30;12;19;0.696078431372549;0.714285714285714;0.683333333333333
"88";"target ~ chol+thalach";42;24;18;18;0.647058823529412;0.571428571428571;0.7
"89";"target ~ chol+oldpeak";47;21;21;13;0.666666666666667;0.5;0.783333333333333
"90";"target ~ chol+sex0";21;35;7;39;0.549019607843137;0.833333333333333;0.35
"91";"target ~ chol+sex1";21;35;7;39;0.549019607843137;0.833333333333333;0.35
"92";"target ~ chol+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"93";"target ~ chol+cp1";42;17;25;18;0.57843137254902;0.404761904761905;0.7
"94";"target ~ chol+cp2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"95";"target ~ chol+cp3";50;11;31;10;0.598039215686274;0.261904761904762;0.833333333333333
"96";"target ~ chol+fbs0";50;13;29;10;0.617647058823529;0.30952380952381;0.833333333333333
"97";"target ~ chol+fbs1";50;13;29;10;0.617647058823529;0.30952380952381;0.833333333333333
"98";"target ~ chol+restecg0";45;17;25;15;0.607843137254902;0.404761904761905;0.75
"99";"target ~ chol+restecg1";45;18;24;15;0.617647058823529;0.428571428571429;0.75
"100";"target ~ chol+restecg2";46;13;29;14;0.57843137254902;0.30952380952381;0.766666666666667
"101";"target ~ chol+exang0";51;19;23;9;0.686274509803922;0.452380952380952;0.85
"102";"target ~ chol+exang1";51;19;23;9;0.686274509803922;0.452380952380952;0.85
"103";"target ~ chol+slope0";47;14;28;13;0.598039215686274;0.333333333333333;0.783333333333333
"104";"target ~ chol+slope1";43;26;16;17;0.676470588235294;0.619047619047619;0.716666666666667
"105";"target ~ chol+slope2";39;33;9;21;0.705882352941177;0.785714285714286;0.65
"106";"target ~ chol+ca0";45;30;12;15;0.735294117647059;0.714285714285714;0.75
"107";"target ~ chol+ca1";42;22;20;18;0.627450980392157;0.523809523809524;0.7
"108";"target ~ chol+ca2";49;15;27;11;0.627450980392157;0.357142857142857;0.816666666666667
"109";"target ~ chol+ca3";56;2;40;4;0.568627450980392;0.0476190476190476;0.933333333333333
"110";"target ~ chol+ca4";47;12;30;13;0.57843137254902;0.285714285714286;0.783333333333333
"111";"target ~ chol+thal0";46;12;30;14;0.568627450980392;0.285714285714286;0.766666666666667
"112";"target ~ chol+thal1";46;14;28;14;0.588235294117647;0.333333333333333;0.766666666666667
"113";"target ~ chol+thal2";44;32;10;16;0.745098039215686;0.761904761904762;0.733333333333333
"114";"target ~ chol+thal3";47;29;13;13;0.745098039215686;0.69047619047619;0.783333333333333
"115";"target ~ thalach+oldpeak";50;26;16;10;0.745098039215686;0.619047619047619;0.833333333333333
"116";"target ~ thalach+sex0";42;29;13;18;0.696078431372549;0.69047619047619;0.7
"117";"target ~ thalach+sex1";42;29;13;18;0.696078431372549;0.69047619047619;0.7
"118";"target ~ thalach+cp0";47;34;8;13;0.794117647058823;0.80952380952381;0.783333333333333
